num,title,director,actors,country,language,score,commentors,releasedate,runtime,series,commente
22,疯狂动物城,拜伦·霍华德,"['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特']",美国,英语 / 挪威语,9.2,860740,2016-03-04(中国大陆/美国),109分钟(中国大陆),"['喜剧', '动画', '冒险']",迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
23,当幸福来敲门,加布里埃莱·穆奇诺,"['威尔·史密斯', '贾登·史密斯', '坦迪·牛顿', '布莱恩·豪威 ']",美国,英语 / 粤语,9.0,799839,2008-01-17(中国大陆),117分钟,"['剧情', '家庭', '传记']",平民励志片。
24,怦然心动,罗伯·莱纳,"['玛德琳·卡罗尔', '卡兰·麦克奥利菲', '瑞贝卡·德·莫妮', '安东尼·爱德华兹']",美国,英语,9.0,882774,2010-07-26(好莱坞首映),90分钟,"['剧情', '喜剧', '爱情']",真正的幸福是来自内心深处。
25,触不可及,奥利维埃·纳卡什,"['弗朗索瓦·克鲁塞', '奥玛·希', '安娜·勒尼', '奥德雷·弗勒罗']",法国,法语,9.2,528091,2011-11-02(法国),112分钟,"['剧情', '喜剧']",满满温情的高雅喜剧。
26,乱世佳人,维克多·弗莱明,"['费雯·丽', '克拉克·盖博', '奥利维娅·德哈维兰', '托马斯·米切尔']",美国,英语,9.2,368575,1939-12-15(亚特兰大首映),238分钟,"['剧情', '爱情', '历史', '战争']",Tomorrow is another day.
27,蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,"['克里斯蒂安·贝尔', '希斯·莱杰', '艾伦·艾克哈特', '迈克尔·凯恩']",美国 / 英国,英语 / 汉语普通话,9.1,509755,2008-07-14(纽约首映),152分钟,"['剧情', '动作', '科幻', '惊悚', '犯罪']",无尽的黑暗。
28,活着,张艺谋,"['葛优', '巩俐', '姜武', '牛犇']",中国大陆 / 香港,汉语普通话,9.2,408755,1994-05-17(戛纳电影节),132分钟,"['剧情', '家庭', '历史']",张艺谋最好的电影。
29,少年派的奇幻漂流,李安,"['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因']",美国 / 台湾 / 英国 / 加拿大,英语 / 泰米尔语 / 法语 / 日语 / 印地语 / 汉语普通话,9.0,799964,2012-11-22(中国大陆),127分钟,"['剧情', '奇幻', '冒险']",瑰丽壮观、无人能及的冒险之旅。
30,控方证人,比利·怀德,"['泰隆·鲍华', '玛琳·黛德丽', '查尔斯·劳顿', '爱尔莎·兰切斯特']",美国,英语 / 德语,9.6,174586,1957-12-17(美国),116分钟,"['剧情', '悬疑', '犯罪']",比利·怀德满分作品。
31,天堂电影院,朱塞佩·托纳多雷,"['安东内拉·阿蒂利', '恩佐·卡拉瓦勒', '艾萨·丹尼埃利', '里奥·故罗塔']",意大利 / 法国,意大利语,9.2,396386,1988-11-17(意大利),155分钟,"['剧情', '爱情']",那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
32,鬼子来了,姜文,"['姜文', '香川照之', '袁丁', '姜宏波']",中国大陆,汉语普通话 / 日语 / 唐山话,9.2,334375,2000-05-12(戛纳电影节),139分钟,"['剧情', '历史', '战争']",对敌人的仁慈，就是对自己残忍。
33,指环王3：王者无敌,彼得·杰克逊,"['维果·莫腾森', '伊莱贾·伍德', '西恩·奥斯汀', '丽芙·泰勒']",美国 / 新西兰,英语 / 昆雅语 / 古英语 / 辛达林语,9.1,401140,2004-03-12(中国大陆),201分钟,"['剧情', '动作', '奇幻', '冒险']",史诗的终章。
34,十二怒汉,西德尼·吕美特,"['亨利·方达', '马丁·鲍尔萨姆', '约翰·菲德勒', '李·科布']",美国,英语,9.4,238112,1957-04-13(美国),96 分钟,['剧情'],1957年的理想主义。
35,天空之城,宫崎骏,"['田中真弓', '横泽启子', '初井言荣', '寺田农']",日本,日语,9.1,469813,1992(中国大陆),125分钟,"['动画', '奇幻', '冒险']",对天空的追逐，永不停止。
36,摔跤吧！爸爸,涅提·蒂瓦里,"['阿米尔·汗', '法缇玛·萨那·纱卡', '桑亚·玛荷塔', '阿帕尔夏克提·库拉那']",印度,印地语,9.1,763600,2017-05-05(中国大陆),161分钟(印度),"['剧情', '家庭', '传记', '运动']",你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
37,飞屋环游记,彼特·道格特,"['爱德华·阿斯纳', '克里斯托弗·普卢默', '乔丹·长井', '鲍勃·彼德森']",美国,英语,8.9,715735,2009-08-04(中国大陆),96分钟,"['剧情', '喜剧', '动画', '冒险']",最后那些最无聊的事情，才是最值得怀念的。
38,大话西游之月光宝盒,刘镇伟,"['周星驰', '吴孟达', '罗家英', '蓝洁瑛']",香港 / 中国大陆,粤语 / 汉语普通话,8.9,616988,2014-10-24(中国大陆),87分钟,"['喜剧', '爱情', '奇幻', '古装']",旷古烁今。
39,搏击俱乐部,大卫·芬奇,"['爱德华·诺顿', '布拉德·皮特', '海伦娜·伯翰·卡特', '扎克·格雷尼尔']",美国 / 德国,英语,9.0,514063,1999-09-10(威尼斯电影节),139 分钟,"['剧情', '动作', '悬疑', '惊悚']",邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
40,罗马假日,威廉·惠勒,"['奥黛丽·赫本', '格利高里·派克', '埃迪·艾伯特', '哈特利·鲍尔']",美国,英语 / 意大利语 / 德语,9.0,535651,1953-09-02(美国),118分钟,"['剧情', '喜剧', '爱情']",爱情哪怕只有一天。
41,哈尔的移动城堡,宫崎骏,"['倍赏千惠子', '木村拓哉', '美轮明宏', '我修院达也']",日本,日语,9.0,519129,2004-09-05(威尼斯电影节),119分钟,"['动画', '奇幻', '冒险']",带着心爱的人在天空飞翔。
42,闻香识女人,马丁·布莱斯特,"['阿尔·帕西诺', '克里斯·奥唐纳', '詹姆斯·瑞布霍恩', '加布里埃尔·安瓦尔']",美国,英语,9.0,457387,1992-12-23(美国),157 分钟,['剧情'],史上最美的探戈。
43,辩护人,杨宇硕,"['宋康昊', '吴达洙', '金英爱', '郭度沅']",韩国,韩语,9.2,316128,2013-12-18(韩国),127分钟,['剧情'],电影的现实意义大过电影本身。
44,窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克,"['乌尔里希·穆埃', '马蒂娜·格德克', '塞巴斯蒂安·科赫', '乌尔里希·图库尔']",德国,德语,9.1,317660,2006-03-23(德国),137分钟,"['剧情', '悬疑']",别样人生。
45,两杆大烟枪,盖·里奇,"['杰森·弗莱明', '德克斯特·弗莱彻', '尼克·莫兰', '杰森·斯坦森']",英国,英语,9.1,352020,1998-08-28(英国),107分钟,"['剧情', '喜剧', '犯罪']",4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
46,末代皇帝,贝纳尔多·贝托鲁奇,"['尊龙', '陈冲', '邬君梅', '彼得·奥图尔']",英国 / 意大利 / 中国大陆 / 法国 / 美国,英语 / 汉语普通话 / 日语 / 俄语,9.1,307774,1987-10-04(东京国际电影节),163分钟,"['剧情', '传记', '历史']",“不要跟我比惨，我比你更惨”再适合这部电影不过了。
47,飞越疯人院,米洛斯·福尔曼,"['杰克·尼科尔森', '丹尼·德维托', '克里斯托弗·洛伊德', '路易丝·弗莱彻']",美国,英语,9.1,354705,1975-11-19(美国),133分钟,['剧情'],自由万岁。
48,死亡诗社,彼得·威尔,"['罗宾·威廉姆斯', '罗伯特·肖恩·莱纳德', '伊桑·霍克', '乔西·查尔斯']",美国,英语 / 拉丁语,9.0,388386,1989-06-02(多伦多首映),128 分钟,['剧情'],当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
49,指环王2：双塔奇兵,彼得·杰克逊,"['伊莱贾·伍德', '西恩·奥斯汀', '伊恩·麦克莱恩', '维果·莫腾森']",美国 / 新西兰,英语 / 辛达林语 / 古代英语,9.0,376713,2003-04-25(中国大陆),179分钟,"['剧情', '动作', '奇幻', '冒险']",承前启后的史诗篇章。
50,素媛,李濬益,"['薛耿求', '严志媛', '李来', '金海淑']",韩国,韩语,9.2,285557,2013-10-02(韩国),123分钟,['剧情'],受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
51,V字仇杀队,詹姆斯·麦克特格,"['娜塔莉·波特曼', '雨果·维文', '斯蒂芬·瑞', '斯蒂芬·弗雷']",美国 / 英国 / 德国,英语,8.8,593229,2005-12-11(BNAT电影节),132分钟,"['剧情', '动作', '科幻', '惊悚']",一张面具背后的理想与革命。
52,教父2,弗朗西斯·福特·科波拉,"['阿尔·帕西诺', '罗伯特·杜瓦尔', '黛安·基顿', '罗伯特·德尼罗']",美国,英语 / 意大利语 / 西班牙语 / 拉丁语 / 西西里语,9.2,268942,1974-12-12(纽约首映),202分钟,"['剧情', '犯罪']",优雅的孤独。
